content_id,title,type,genre,sub_genre,country,language,rating,release_year,date_added,director,cast_count,duration_min,seasons,episodes,engagement_score,views_millions,watchtime_hours_millions,user_rating,is_original,budget_category,added_year,added_month,added_quarter
1000,Title_1000,Movie,Horror,Comedy,United States,Spanish,TV-MA,2021,2022-07-18,Director_152,16,108.0,,,88.0,3.43,9.01,9.3,1,Low,2022,7,Q3
1001,Title_1001,TV Show,Comedy,Romance,South Korea,English,TV-MA,2019,2022-02-12,Director_88,11,,4.0,36.0,86.3,3.06,4.45,8.4,1,Premium,2022,2,Q1
1002,Title_1002,Movie,Action,Reality,Spain,English,TV-MA,2019,2021-07-18,Director_97,5,124.0,,,94.0,9.07,18.67,9.0,0,High,2021,7,Q3
1003,Title_1003,TV Show,Horror,Mystery,United States,French,TV-PG,2022,2022-01-29,Director_26,15,,1.0,11.0,88.5,2.5,6.42,8.5,1,High,2022,1,Q1
1004,Title_1004,Movie,Action,Sci-Fi,Spain,Hindi,TV-MA,2020,2022-03-06,Director_98,11,89.0,,,77.9,0.52,0.83,6.4,0,High,2022,3,Q1
1005,Title_1005,TV Show,Documentary,Crime,United Kingdom,French,PG,2020,2021-04-25,Director_184,13,,1.0,12.0,58.3,0.95,2.53,6.1,1,Mid,2021,4,Q2
1006,Title_1006,TV Show,Fantasy,Reality,Germany,Turkish,PG-13,2019,2021-10-20,Director_150,15,,3.0,21.0,77.1,0.84,1.79,8.9,1,Premium,2021,10,Q4
1007,Title_1007,Movie,Drama,Crime,Spain,Japanese,TV-MA,2021,2021-04-07,Director_120,19,99.0,,,69.3,3.32,6.03,5.8,1,Mid,2021,4,Q2
1008,Title_1008,TV Show,Family,Reality,United Kingdom,Hindi,TV-14,2019,2021-08-23,Director_185,11,,6.0,36.0,64.5,3.23,8.81,5.5,0,High,2021,8,Q3
1009,Title_1009,Movie,Thriller,Animation,United Kingdom,Hindi,TV-MA,2021,2022-09-04,Director_1,13,99.0,,,82.5,2.03,4.96,8.0,0,Low,2022,9,Q3
1010,Title_1010,TV Show,Action,Comedy,Canada,Spanish,PG,2021,2022-09-22,Director_195,20,,1.0,7.0,67.8,19.36,38.29,6.8,0,Low,2022,9,Q3
1011,Title_1011,Movie,Thriller,Fantasy,Mexico,Korean,TV-MA,2019,2022-06-27,Director_167,14,107.0,,,65.3,6.66,12.24,5.6,0,Mid,2022,6,Q2
1012,Title_1012,Movie,Drama,Fantasy,South Korea,Italian,PG-13,2022,2022-11-24,Director_16,10,155.0,,,74.5,0.47,0.62,6.4,1,Low,2022,11,Q4
1013,Title_1013,Movie,Action,Sci-Fi,South Korea,Italian,TV-MA,2019,2022-07-25,Director_105,9,107.0,,,77.4,7.26,11.53,7.9,1,High,2022,7,Q3
1014,Title_1014,Movie,Action,Thriller,India,German,R,2021,2021-04-21,Director_49,20,87.0,,,73.6,2.44,3.35,6.2,0,Mid,2021,4,Q2
1015,Title_1015,Movie,Comedy,Reality,United States,Turkish,R,2018,2021-06-04,Director_193,10,150.0,,,59.4,1.68,4.62,6.8,1,Mid,2021,6,Q2
1016,Title_1016,Movie,Comedy,Sci-Fi,United States,Japanese,PG-13,2020,2021-05-01,Director_74,16,128.0,,,72.1,0.55,1.35,7.5,0,High,2021,5,Q2
1017,Title_1017,TV Show,Animation,Biography,United States,English,TV-MA,2022,2023-09-24,Director_81,4,,4.0,32.0,69.4,1.58,3.27,7.4,1,Mid,2023,9,Q3
1018,Title_1018,Movie,Biography,Comedy,United States,Spanish,TV-MA,2021,2021-04-27,Director_146,10,103.0,,,72.4,8.23,12.97,6.6,0,Low,2021,4,Q2
1019,Title_1019,TV Show,Drama,Fantasy,France,German,PG-13,2021,2023-12-07,Director_166,12,,5.0,35.0,68.3,4.26,7.81,7.6,0,Premium,2023,12,Q4
1020,Title_1020,Movie,Biography,Comedy,United States,French,PG-13,2021,2021-07-24,Director_63,14,148.0,,,54.2,2.02,3.55,4.5,1,Mid,2021,7,Q3
